title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
SMILE 360 DENTAL CLINIC,4.9,68,"shop no 119, EMP 47, Halley towers",Mumbai,Maharashtra,IN,https://www.apollo247.com/doctors/smile-360-dental-clinic-67fdebcc-7cf6-49f9-9d9d-13d510789b86?utm_source=gmb_docverse&utm_medium=clinics&utm_campaign=doctors,+91 85913 92143,Dental clinic,Cosmetic dentist,Dental hygienist,Dental implants periodontist,Orthodontist,Paediatric Dentist,Prosthodontist,Teeth whitening service,,,https://www.google.com/maps/search/?api=1&query=SMILE%20360%20DENTAL%20CLINIC&query_place_id=ChIJPQvOJzC35zsRZVsI-20jhEM,Dental clinic
Aastha Dental Clinic,5,1,"6V32+W7F, Vyas Shopping Center, Bajaj Cross Road, Bajaj Rd",Mumbai,Maharashtra,IN,,+91 22 2808 2611,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Aastha%20Dental%20Clinic&query_place_id=ChIJT-Snl9i25zsR5tXRpZxPHFo,Dental clinic
Dr Bapat's Comprehensive Dental Care Clinic,4.6,54,"Shop No-1 & 2, EMP-61, Evershine Sun CHSL",Mumbai,Maharashtra,IN,,+91 22 4968 9726,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Bapat's%20Comprehensive%20Dental%20Care%20Clinic&query_place_id=ChIJzRe-0Te35zsRfiDOQ4xQOXg,Dental clinic
Dr. Lotlikar's Dental Clinic,5,275,"Shop Number 18, Krishna Building, VASANT SAGAR, next to Induslnd Bank",Mumbai,Maharashtra,IN,,+91 83693 22651,Dental clinic,Dental hygienist,Dental implants periodontist,Dental laboratory,Dental radiology,Dentist,Emergency dental service,Teeth whitening service,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Lotlikar's%20Dental%20Clinic&query_place_id=ChIJK7uZWTi35zsRnZejvppg_aI,Dental clinic
Dr Bangera Dental Clinic,5,15,"2, Jala Krupa CHSL, Vazira Naka, Ram, Ram Mandir Rd",Mumbai,Maharashtra,IN,,+91 22 2899 2314,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Bangera%20Dental%20Clinic&query_place_id=ChIJ1aVLlC6x5zsRflmRm-lEsn8,Dental clinic
ADARSH DENTAL CLINIC (Dr Anjali Gupta),4.8,55,"6VJ5+6FR, Cater, Rd Number 7, near Hotel Honest",Mumbai,Maharashtra,IN,,+91 89289 59501,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=ADARSH%20DENTAL%20CLINIC%20(Dr%20Anjali%20Gupta)&query_place_id=ChIJM4moow2x5zsRbOS3F9JvgPo,Dental clinic
Dr Bhavati's 32 Gems Dental Clinic,5,277,"Shop Number 3, Wilmer Apartment",Mumbai,Maharashtra,IN,,+91 99696 54033,Dental clinic,Cosmetic dentist,Dental hygienist,Dental implants periodontist,Dentist,Endodontist,Orthodontist,Paediatric Dentist,Periodontist,Prosthodontist,https://www.google.com/maps/search/?api=1&query=Dr%20Bhavati's%2032%20Gems%20Dental%20Clinic&query_place_id=ChIJyyX7_wC35zsR3uxFerrVkOI,Dental clinic
Smile and Health Dental Clinic,5,57,"4, Indira Apartments, Dattapada Rd",Mumbai,Maharashtra,IN,,+91 93218 09412,Dental clinic,Cosmetic dentist,Dental implants provider,Dental radiology,Dentist,Oral and maxillofacial surgeon,Orthodontist,Teeth whitening service,,,https://www.google.com/maps/search/?api=1&query=Smile%20and%20Health%20Dental%20Clinic&query_place_id=ChIJOZrbf9Ow5zsRGrmJPPDCCkQ,Dental clinic
Garg Dental Clinic Premiere,4.9,110,"Shop no.28, New Link Rd, next to Sai Car Care",Mumbai,Maharashtra,IN,http://www.bracesinmumbai.com/,+91 96991 42967,Dental clinic,Cosmetic dentist,Dental implants periodontist,Dental implants provider,Dentist,Paediatric Dentist,Teeth whitening service,,,,https://www.google.com/maps/search/?api=1&query=Garg%20Dental%20Clinic%20Premiere&query_place_id=ChIJ1w7YVRyx5zsRAgrdgJpiW3I,Dental clinic
Dr. Shashank S. Yadav,4.8,180,"Shop No. 7, Geetanjali Tower, SV Rd, opp. Santoshi Mata Mandir",Mumbai,Maharashtra,IN,http://drshashankyadav.com/,+91 81040 94745,Dental clinic,Cosmetic dentist,Dental hygienist,Dental implants periodontist,Dental implants provider,Dental laboratory,Dentist,Emergency dental service,Orthodontist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Dr.%20Shashank%20S.%20Yadav&query_place_id=ChIJlYxbKIex5zsRr_1sEIIwkrI,Dental clinic
Aashna Dental Care. Advanced Root canal & Implant Centre.,5,14,"Second Last, Vraj Darshan Building, Bus Stop, Shop No.4, B-Wing Near Azam Dairy & 298, Shiv Vallabh Rd",Mumbai,Maharashtra,IN,,+91 73033 38073,Dental clinic,Cosmetic dentist,Dental implants provider,Denture Care Centre,Oral surgeon,Orthodontist,Prosthodontist,,,,https://www.google.com/maps/search/?api=1&query=Aashna%20Dental%20Care.%20Advanced%20Root%20canal%20%26%20Implant%20Centre.&query_place_id=ChIJ2y9s_MGw5zsRwP25sUODak8,Dental clinic
"Tanartwork Studio (NATA,CET,CREATIVE ARTS,ELEMENTARY INTERMEDIATE, INTERIOR DESIGN, DIGITAL ART, SOFTWARE ETC)",5,55,"Room No 1, Borge Road, Thakur Pakhadi Marg",Mumbai,Maharashtra,IN,,+91 83697 63164,Painting lessons,Art center,Art school,Art studio,Drawing lessons,,,,,,https://www.google.com/maps/search/?api=1&query=Tanartwork%20Studio%20(NATA%2CCET%2CCREATIVE%20ARTS%2CELEMENTARY%20INTERMEDIATE%2C%20INTERIOR%20DESIGN%2C%20DIGITAL%20ART%2C%20SOFTWARE%20ETC)&query_place_id=ChIJ-0Y0Fu6x5zsR5zDJyJyRjeI,Painting lessons
Dreamhome interior designer and execution,,,,,,,https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbmlVUmVVX1hHa2c1UmltMEoyaHBiNUNzRC1wUXxBQ3Jtc0trUWprUkhodFpva3lZaklXZWtsYUFYTzlVdHRBWTRLRkRxSDlGSUtOMzQzTHZUWFFFRVFfOWFBVEZfNGhnQUl5a0ZGbnp4Q1ZIYk5oWXd0OUdZc3I2UEhjVWg4VUlwQWluUTBUSXBOcHRJYVVFNUxMOA&q=https://www.instagram.com/dreamhome_interior_designer?igsh=MXIzYTMwNWl0aDRicw==,,Interior designer,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dreamhome%20interior%20designer%20and%20execution&query_place_id=ChIJhYgkYtaKbiURpwuRlqVbX30,Interior designer
Modular Concepts - | Modular Furnishing in Borivali west| Modular kitchen | Interior Designer |,5,10,"Shop no 2, Omkara Unchai, laxman Bhandari marg",Mumbai,Maharashtra,IN,,+91 99208 76494,Interior designer,Kitchen furniture store,Modular home dealer,,,,,,,,https://www.google.com/maps/search/?api=1&query=Modular%20Concepts%20-%20%7C%20Modular%20Furnishing%20in%20Borivali%20west%7C%20Modular%20kitchen%20%7C%20Interior%20Designer%20%7C&query_place_id=ChIJJRnCin-35zsR2kpwyR5x1SI,Interior designer
Arif Khan P O P FALSE CEILING INTERIOR DESIGN,,,"6RWX+6H6, IC Colony Rd",Mumbai,Maharashtra,IN,,,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Arif%20Khan%20P%20O%20P%20FALSE%20CEILING%20INTERIOR%20DESIGN&query_place_id=ChIJqUcSNwCx5zsRKxF6_MLWcFo,Interior designer
Createeth Dental Clinic,5,71,"Shop no 7/8, Avirahi Classique, Hanuman Tekdi Rd, next to Sheth Midori",Mumbai,Maharashtra,IN,https://www.createethdentalclinic.com/,+91 87796 30924,Dental clinic,Cosmetic dentist,Dental implants periodontist,Dental implants provider,Emergency dental service,Endodontist,Oral surgeon,Orthodontist,Paediatric Dentist,Prosthodontist,https://www.google.com/maps/search/?api=1&query=Createeth%20Dental%20Clinic&query_place_id=ChIJ7R88bYOx5zsR-gVv-H5IhY8,Dental clinic
All Smilez Dental Care | Best Dental Clinic,5,211,"Gurukrupa Society, 102, New Link Rd, opp. Suyog soc",Mumbai,Maharashtra,IN,http://www.allsmilezdentalclinic.com/,+91 80974 19563,Dental clinic,Dentist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=All%20Smilez%20Dental%20Care%20%7C%20Best%20Dental%20Clinic&query_place_id=ChIJD-Rzfiq35zsR250VeJNbQxo,Dental clinic
Shri Samarth Modular Kitchen & Interior Designer,5,9,"Shop No-1D, Login CHS, New Link Rd, opposite Orchid suburbia",Mumbai,Maharashtra,IN,,+91 99751 44280,Modular home builder,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Shri%20Samarth%20Modular%20Kitchen%20%26%20Interior%20Designer&query_place_id=ChIJUe9PcQ635zsR2TEk2OZYNPo,Modular home builder
DreamVastu - The Interior Design Studio,,,,,,,http://miniweb-site.in/idreamvastu,,Interior designer,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=DreamVastu%20-%20The%20Interior%20Design%20Studio&query_place_id=ChIJia0eoBCfcqAR7ZqxzNaQ9NY,Interior designer
Empire Advance Dental Clinic,5,42,"Shop No. 11, Tulip CHS Ltd., CKP colony, Eksar Rd",Mumbai,Maharashtra,IN,,+91 86573 60261,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Empire%20Advance%20Dental%20Clinic&query_place_id=ChIJ5zbGhkmx5zsRZQe0A9Ay8sM,Dental clinic
Agarwal Dental Clinic,5,27,"Shop No 8, NG Suncity Phase 2",Mumbai,Maharashtra,IN,,+91 88987 65416,Dental clinic,Dental hygienist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Agarwal%20Dental%20Clinic&query_place_id=ChIJTQCn40a35zsR2_gUCeAU0sU,Dental clinic
Polaris Creations | Mumbai | Interior Design | Residential & Commercial Interiors,5,2,,,,,https://www.instagram.com/polarisworks/,+91 92235 04679,Interior designer,Service establishment,Interior construction contractor,,,,,,,,https://www.google.com/maps/search/?api=1&query=Polaris%20Creations%20%7C%20Mumbai%20%7C%20Interior%20Design%20%7C%20Residential%20%26%20Commercial%20Interiors&query_place_id=ChIJM533TurP5zsRWDNjRNtZVpE,Interior designer
Healthy Smiles Dental Clinic,5,126,"Shop No. B-13/B1, Acharya Ashram CHS Ltd, Furniture galli, PM Kulkarni Rd, near Don Bosco school",Mumbai,Maharashtra,IN,https://healthysmilesdental.in/,+91 96195 00588,Dental clinic,Cosmetic dentist,Laser hair removal service,Teeth whitening service,,,,,,,https://www.google.com/maps/search/?api=1&query=Healthy%20Smiles%20Dental%20Clinic&query_place_id=ChIJhyaHjgWx5zsR6aqwlXMdyLw,Dental clinic
Dr. Prerna's Dental Clinic,4.9,57,"Shop no.: 2, Shanti Vihar Compund, Laxman Mhatre Rd",Mumbai,Maharashtra,IN,,+91 89761 96942,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Prerna's%20Dental%20Clinic&query_place_id=ChIJWcv001-x5zsRuZLr_WONeGY,Dental clinic
Dr.Sheetal R.Gore Dental Clinic,4.8,106,"Shop No.21, Bhima chs, Shantivan, next to City Co-Operative Limited Shantivan",Mumbai,Maharashtra,IN,http://naturalsmilesdentalclinic.com/,+91 77158 60271,Dental clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.Sheetal%20R.Gore%20Dental%20Clinic&query_place_id=ChIJ-RLDbcWw5zsR2D6u1py42Ws,Dental clinic
Dr. Apurva Jain Dental Clinic,5,52,"Shop no 6, Madhuban Heights, Shimpoli Cross Rd Number 1",Mumbai,Maharashtra,IN,https://drapurva-jain.my.canva.site/,+91 98208 02742,Dental clinic,Dentist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Apurva%20Jain%20Dental%20Clinic&query_place_id=ChIJsXZOMnix5zsRE08IX5847IU,Dental clinic
Dr. Maya's Dental Clinic,5,117,"Country Park, B-002, Dattapada Rd, opp. Tata SSL",Mumbai,Maharashtra,IN,https://drmayasdentalclinic.com/,+91 77388 88177,Dental clinic,Cosmetic dentist,Dentist,Endodontist,Orthodontist,Periodontist,Prosthodontist,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Maya's%20Dental%20Clinic&query_place_id=ChIJE3cVpDK35zsR6fJ2YDj6k3Q,Dental clinic
Harshita Interior Decorators,5,7,"Shop no-01, Catherina Parera, Laxman Mhatre Rd, opp. Suyog CHS",Mumbai,Maharashtra,IN,,+91 98195 46516,Interior Decorator,Grill,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Harshita%20Interior%20Decorators&query_place_id=ChIJy8EFEDux5zsRpNZdCq_vmWE,Interior Decorator
Dentify Multi-Speciality Dental Clinic and Implant Center,5,195,"Shop No. 4, Gobind Chhaya CHS, building No. 7, next to Prem Nagar Road",Mumbai,Maharashtra,IN,http://dentifydental.in/,+91 73046 13157,Dental clinic,Cosmetic dentist,Dental implants provider,Dentist,Emergency dental service,Endodontist,Oral and maxillofacial surgeon,Orthodontist,Paediatric Dentist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Dentify%20Multi-Speciality%20Dental%20Clinic%20and%20Implant%20Center&query_place_id=ChIJmxEzoi6x5zsRP5Ts8AHfAlg,Dental clinic
Naik Interior Designer and Civil Contractor,4.8,54,Jeevandhara 13,Mumbai,Maharashtra,IN,,,Interior designer,Carpenter,Electrical installation service,Flooring contractor,Interior Decorator,Interior construction contractor,Painter,Painting,Plumber,,https://www.google.com/maps/search/?api=1&query=Naik%20Interior%20Designer%20and%20Civil%20Contractor&query_place_id=ChIJF3jjPM2w5zsRnpgNkU-Xa90,Interior designer
Studio Bespoke -Interior Design,5,4,"Navkar Atlantis, Road No. 3",Mumbai,Maharashtra,IN,,+91 99309 02710,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Studio%20Bespoke%20-Interior%20Design&query_place_id=ChIJcc_oUV2x5zsRjRTJbDyx7F4,Interior designer
Shreem Interior Design,4.9,7,"1st floor, Commercial wing, palkhi aura building, F-9, Dattapada Rd",Mumbai,Maharashtra,IN,https://www.instagram.com/shreeminteriordesign/,+91 80807 63030,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Shreem%20Interior%20Design&query_place_id=ChIJWa-ioQGx5zsR0jDhTLmTar8,Interior designer
AMP Architect and Interior Designer,5,30,"Keshavrao Vishwasrao Rd, near Dhavale BMC Hospital",Mumbai,Maharashtra,IN,,+91 77389 91769,Architectural designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=AMP%20Architect%20and%20Interior%20Designer&query_place_id=ChIJZ2u-tySx5zsRKOCQMyBD1A0,Architectural designer
Rashi Clever Interior Designs By Sushil Mistry,5,4,"Ajmera Pristine, A/ 402, Eksar Rd, opp. Vipul Dry fruit lane",Mumbai,Maharashtra,IN,,+91 98920 11792,Interior architect office,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rashi%20Clever%20Interior%20Designs%20By%20Sushil%20Mistry&query_place_id=ChIJQTwveCmx5zsRzcZVGVkfWjE,Interior architect office
Dr. Thakur's Pediatric and Family Dental Care,5,109,"Shop no. 6, Gaurav niketan CHS LTD, Holy Cross Rd, opposite VIBGYOR high school",Mumbai,Maharashtra,IN,https://dr-thakurs-pediatric.grexa.site/,+91 97692 12754,Dental clinic,Cosmetic dentist,Paediatric Dentist,Dental hygienist,Dental implants periodontist,Dentist,Emergency dental service,Oral and maxillofacial surgeon,Orthodontist,Teeth whitening service,https://www.google.com/maps/search/?api=1&query=Dr.%20Thakur's%20Pediatric%20and%20Family%20Dental%20Care&query_place_id=ChIJfx2r-tGx5zsRyBDFGkCj-dQ,Dental clinic
MI CAD | Interior Designing Institute Malad/Borivali-Interior Design Courses Malad/Borivali,4.9,29,"shop no-201, Balaji arcade, Swami Vivekanand Rd, opp. Jain mota Upasara, above ifb point",Mumbai,Maharashtra,IN,https://micadinstitute.com/,+91 89292 07303,Design institute,Education center,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MI%20CAD%20%7C%20Interior%20Designing%20Institute%20Malad%2FBorivali-Interior%20Design%20Courses%20Malad%2FBorivali&query_place_id=ChIJh0yXy5635zsRcnufip4eruc,Design institute
NIF Global Mumbai Borivali,4.6,187,"4th Floor, Gokul shopping center, outside platform 1",Mumbai,Maharashtra,IN,https://www.nifborivali.com/?utm_source=gmb&utm_medium=organic,,Interior designer,Coaching center,Design institute,Education center,Educational institution,Fashion designer,Interior Decorator,Fashion design school,Training center,,https://www.google.com/maps/search/?api=1&query=NIF%20Global%20Mumbai%20Borivali&query_place_id=ChIJ_cClNB6x5zsR5CVYLylghCw,Interior designer
Aura Interior Design Studio,5,7,Jai Maharashtra Nagar Rd Number 1,Mumbai,Maharashtra,IN,,+91 88987 65557,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Aura%20Interior%20Design%20Studio&query_place_id=ChIJ8XCX2eK35zsRs71Nojn-Tb0,Interior designer
/hc - By Himanshi Chovatia Interior Designing Studio,,,"railway station, */hc Studio* Address- 110, Sona Shopping Center, opp. Kandivali",Mumbai,Maharashtra,IN,,,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=%2Fhc%20-%20By%20Himanshi%20Chovatia%20Interior%20Designing%20Studio&query_place_id=ChIJawREpbe35zsRiAWw9j_xXZ0,Interior designer
lovely interior- Interior Designer in Borivali - Furniture Shop- Furniture work in ic colony- Interior work in ic colony,4.7,33,"Shop No. 5, Dharmendra Building, Holy Cross Rd, opposite HCG The specialist in cancer care",Mumbai,Maharashtra,IN,,+91 93213 08331,Interior designer,Home goods store,,,,,,,,,https://www.google.com/maps/search/?api=1&query=lovely%20interior-%20Interior%20Designer%20in%20Borivali%20-%20Furniture%20Shop-%20Furniture%20work%20in%20ic%20colony-%20Interior%20work%20in%20ic%20colony&query_place_id=ChIJX8G4bR2x5zsR-U8QkqvrKxQ,Interior designer
Srushti Vartak • Interior Designer,5,20,Nutan Dream,Mumbai,Maharashtra,IN,,+91 80975 08050,Interior designer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Srushti%20Vartak%20%E2%80%A2%20Interior%20Designer&query_place_id=ChIJyfAhKjnfaYIR9vmSxU2uY2Q,Interior designer
LAVISH_HAUS INTERIOR DESIGN STUDIO,,,,,,,https://lavish-haus.ueniweb.com/?utm_campaign=gmb,+91 87676 63157,Interior designer,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=LAVISH_HAUS%20INTERIOR%20DESIGN%20STUDIO&query_place_id=ChIJoVeEMui55zsR5e29Hrh7kXo,Interior designer
Qureshi Interior Designer,5,14,"Shivam Building, Mahatma Gandhi Rd",Mumbai,Maharashtra,IN,,+91 91123 59425,Interior Decorator,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Qureshi%20Interior%20Designer&query_place_id=ChIJRV9dYqax5zsRfwMF0wQ3sBQ,Interior Decorator
Swami Dental Clinic,4.6,26,"Srikrishana Avenue, police station, A 9, near kajupada",Mumbai,Maharashtra,IN,https://www.facebook.com/profile.php?id=100064110938428,,Dentist,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Swami%20Dental%20Clinic&query_place_id=ChIJtXFViKax5zsRI6yBjoNSsao,Dentist
Kings Furniture Interior Designer Studio,3.9,136,"Shop No.9, B-Wing, Mahatma Gandhi Rd",Mumbai,Maharashtra,IN,,+91 92246 86294,Interior designer,Bar restaurant furniture store,Furniture store,Office furniture store,,,,,,,https://www.google.com/maps/search/?api=1&query=Kings%20Furniture%20Interior%20Designer%20Studio&query_place_id=ChIJi6BwHsa25zsRCG5fmcNTRxw,Interior designer
Saroj Dental Clinic,5,96,"Shop No. 5, Parvati CHS, Om Shanti Circle, Devidas Rd",Mumbai,Maharashtra,IN,,+91 75062 62717,Dental clinic,Dentist,Dental hygienist,Dental implants periodontist,Dental implants provider,Denture Care Centre,Emergency dental service,Oral surgeon,Teeth whitening service,,https://www.google.com/maps/search/?api=1&query=Saroj%20Dental%20Clinic&query_place_id=ChIJ75gQISGx5zsRjkB88IB9MNU,Dental clinic
Inavit Modutech pvt ltd - Interior Designers in Mumbai,4.5,8,"Shop no. 9, Shiv Shayadri, Shiv Shakti Nagar, Road","Thane, Mumbai",Maharashtra,IN,https://inavitmodutech.com/,+91 70394 73315,Interior designer,Bedroom furniture store,Furniture maker,Furniture manufacturer,Interior construction contractor,Interior Decorator,Kitchen furniture store,Kitchen remodeler,,,https://www.google.com/maps/search/?api=1&query=Inavit%20Modutech%20pvt%20ltd%20-%20Interior%20Designers%20in%20Mumbai&query_place_id=ChIJb7whLMyx5zsR3JMWqZfQeKI,Interior designer
Smileworks Dental Clinic,4.8,136,"shop no 2, Devidas Cross Ln, opposite lotus hospital",Mumbai,Maharashtra,IN,https://www.smileworksdental.net/,+91 99309 98282,Dentist,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Smileworks%20Dental%20Clinic&query_place_id=ChIJ2xIZKCKx5zsRyWh20kPUp3U,Dentist
